id_cliente,nombre,apellido,correo,telefono
C0116,Mariana,Arnal,mariana.arnal@alianzateam.com,3152190470
C0126,Daniela,Cantón,martinagordillo@example.org,3173663687
C0157,Máximo,Mayol,aragoneshector@example.org,3118863535
C0015,Belén,Trujillo,vanesa54@example.net,3144995004
C0044,Alba,Sanmiguel,alba.sanmiguel@alianzateam.com,3158460936
C0134,Gil,Reyes,maximino61@example.org,3183757719
C0027,Almudena,Asensio,orianarossello@example.com,3158461744
C0007,Chelo,Palomares,tamara74@example.com,3107439409
C0113,Juana,Vall,juana.vall@alianzateam.com,3217662491
C0154,Alejandra,Sala,graciela67@example.net,3158415844
C0115,Samanta,Ávila,solerjose-luis@example.com,3182284782
C0095,Francisco Javier,Marí,rdomingo@example.org,3194365661
C0129,Verónica,Taboada,verónica.taboada@alianzateam.com,3101221383
C0142,Cipriano,Escamilla,apolinar33@example.org,3216744361
C0143,Julia,Martínez,solmurillo@example.org,3122688832
C0102,Maxi,Grande,artemio34@example.com,3131162269
C0107,Asdrubal,Arregui,asdrubal.arregui@alianzateam.com,3122778749
C0172,Ámbar,Herranz,sernafelipa@example.org,3141506466
C0001,Roldán,Luque,parraestefania@example.org,3129009824
C0004,Marta,Gallo,javi05@example.org,3211333293
C0158,Vidal,Santana,vidal.santana@alianzateam.com,3186856369
C0089,Magdalena,Alsina,lidia12@example.com,3108782605
C0161,Severino,Jordá,haroldocarrasco@example.org,3173360806
C0063,Edelmiro,Cerdá,cgalindo@example.org,3167594209
C0104,Clemente,Romeu,clemente.romeu@alianzateam.com,3131652561
C0130,Guadalupe,Oller,eutimiogoni@example.com,3192000041
C0196,Ruperto,Ruiz,dacero@example.com,3208146285
C0128,Vicente,Lucas,teresa35@example.net,3144396058
C0064,Hernando,Barroso,hernando.barroso@alianzateam.com,3144661534
C0132,Juan Manuel,Corominas,avalentin@example.com,3127463907
C0037,Gerónimo,Alfaro,ambrosio85@example.com,3118279681
C0057,Febe,Puga,kmorales@example.com,3201932850
C0108,Morena,Arana,morena.arana@alianzateam.com,3107929261
C0164,Jose Carlos,Contreras,apolinarcruz@example.org,3146838601
C0198,Alex,Melero,maristela77@example.net,3196607554
C0031,Teófilo,Capdevila,dorita29@example.net,3189136535
C0047,Mohamed,Castilla,mohamed.castilla@alianzateam.com,3154387460
C0040,María Fernanda,Saez,palacioosvaldo@example.net,3126094993
C0101,Severiano,Palomino,cuestaofelia@example.com,3214893033
C0156,Daniela,Duran,rosarocamora@example.org,3144266846
C0074,Tatiana,Benitez,tatiana.benitez@alianzateam.com,3219381160
C0051,Carla,Trillo,rbermudez@example.com,3172369453
C0119,Arcelia,Poza,leonardo47@example.org,3161435417
C0020,Olga,Saura,martorellricarda@example.net,3101116049
C0127,María Cristina,Abril,maríacristina.abril@alianzateam.com,3156390155
C0103,Lino,Robles,benignaroca@example.org,3176352842
C0078,Leandra,Escamilla,castilloalberto@example.net,3159673884
C0055,Tania,Valle,franchjosefina@example.net,3178422044
C0186,María Teresa,Fonseca,maríateresa.fonseca@alianzateam.com,3102645041
C0071,Jordana,Pedrero,riquelmeluna@example.net,3155737286
C0176,Custodia,Ferreras,felixduran@example.org,3174820615
C0149,Cándido,Guitart,feliciana72@example.org,3158459886
C0146,Humberto,Cañete,humberto.cañete@alianzateam.com,3144798900
C0012,Iris,Alfonso,ignacioizaguirre@example.com,3177147211
C0009,David,Mosquera,crespogeraldo@example.com,3113714661
C0185,Candelaria,Campo,porrasmarcos@example.net,3139922279
C0034,Godofredo,Ramirez,godofredo.ramirez@alianzateam.com,3167519251
C0114,Vinicio,Pelayo,ncarrion@example.org,3132098890
C0033,Sancho,Ortiz,dan39@example.net,3221821583
C0011,Abraham,Valbuena,fsanchez@example.com,3141038992
C0017,Segismundo,Mateo,segismundo.mateo@alianzateam.com,3134278095
C0096,Custodia,Carbó,xcarretero@example.com,3117132184
C0193,Eliseo,Morell,venceslascollado@example.org,3229702840
C0081,Coral,Ferrando,deliaserrano@example.org,3217089116
C0133,Imelda,Arévalo,imelda.arévalo@alianzateam.com,3199588936
C0018,Ciriaco,Adadia,tomeamalia@example.org,3125868681
C0110,Calisto,Asenjo,amaliachacon@example.net,3216157178
C0139,Rogelio,Alfonso,svallejo@example.org,3182643503
C0036,Paulino,Bosch,paulino.bosch@alianzateam.com,3223591188
C0152,Alma,Armengol,doragimeno@example.org,3175529712
C0123,Jacinta,Jordán,escalonaanita@example.net,3116976452
C0085,Eva,Boix,nando53@example.com,3113011969
C0122,Manuelita,Suarez,manuelita.suarez@alianzateam.com,3217480193
C0054,Petrona,Catalá,emiliano70@example.com,3222198122
C0090,Amparo,Garrido,ignacio57@example.com,3168348495
C0140,Dani,Vidal,hfuentes@example.org,3103473677
C0024,Cintia,Benet,cintia.benet@alianzateam.com,3143524413
C0042,Alfonso,Bou,agustinamora@example.com,3154708895
C0048,Inmaculada,Sánchez,cepedaanita@example.com,3215622433
C0182,Juanito,Villalobos,fitobartolome@example.com,3196938258
C0138,Aníbal,Palomo,aníbal.palomo@alianzateam.com,3111492891
C0076,Inés,Segovia,armandoarrieta@example.org,3195695889
C0056,Filomena,Torralba,jaimemartin@example.org,3129695741
C0059,Agustín,Robles,dominguezalvaro@example.com,3219298406
C0000,Luciano,Agudo,luciano.agudo@alianzateam.com,3206782785
C0082,Lola,Toledo,cristian41@example.net,3168381830
C0028,Consuela,Mendez,uverdugo@example.net,3104888025
C0091,Casemiro,Núñez,zcamino@example.com,3221000593
C0043,Paz,Bayo,paz.bayo@alianzateam.com,3166788790
C0169,Modesta,Murillo,carmonaherberto@example.org,3144019098
C0141,Víctor,Rodríguez,ucarmona@example.org,3211493402
C0105,Amparo,Bartolomé,rosalvamateu@example.net,3159757860
C0077,Ale,Montoya,ale.montoya@alianzateam.com,3163366329
C0131,Cebrián,Menéndez,mauravalbuena@example.net,3155032997
C0014,Juanito,Lozano,rolandohuerta@example.com,3188984396
C0005,Violeta,Boada,ramireznoemi@example.net,3167669065
C0032,Leonel,Torrijos,leonel.torrijos@alianzateam.com,3124012668
C0177,Domingo,Macías,vmilla@example.com,3136125958
C0002,Ámbar,Luís,alejandro77@example.org,3113695660
C0013,Paloma,Varela,urbanoandres@example.net,3122999040
C0035,Liliana,Madrigal,liliana.madrigal@alianzateam.com,3146054890
C0100,Marcela,Gámez,artemio93@example.org,3174182073
C0175,Faustino,Frías,nevadoroberta@example.com,3128829588
C0187,Aurora,Viana,remigio54@example.org,3186740462
C0092,Irma,Peinado,irma.peinado@alianzateam.com,3137370738
C0046,Yaiza,Sanmiguel,aurelianobravo@example.org,3114293161
C0168,Nidia,Fabregat,maximino79@example.com,3107916676
C0050,Candelario,Osuna,canellasnacio@example.com,3149287841
C0153,Tomás,Mate,tomás.mate@alianzateam.com,3227805526
C0039,Vanesa,Losa,ambrosiosantana@example.com,3167302114
C0124,Pepito,Tapia,aguilarprudencio@example.com,3211365456
C0170,Nazaret,Palomares,jamador@example.net,3165198619
